Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly)
 11/13  11:00:00,16.2875,22.03673634,25.91333557,21.7524823,21.67266712,21.31817902
 11/13  12:00:00,17.0125,23.10591937,26.43158291,22.34470619,22.26618406,21.59204336
 11/13  13:00:00,16.8875,24.37946345,25.9830984,22.79920996,22.77278214,21.92074268
 11/13  14:00:00,16.7,26.06408536,25.03684375,22.95925546,23.05685683,22.23389967
 11/13  15:00:00,18.075,27.60418199,24.36746245,23.01619507,23.62332298,22.5246344
 11/13  16:00:00,19.2125,27.82341786,23.94921537,22.99706864,24.38720252,22.76569637
 11/13  17:00:00,17.025,26.59787073,23.31177383,22.58237727,24.29450346,22.84819407
 11/13  18:00:00,15.225,24.35442362,22.55334187,22.0078412,23.18052495,22.70968593
 11/13  19:00:00,14.625,22.925206,21.94105294,21.58161346,22.31649438,22.44158023
 11/13  20:00:00,14.4,22.03171215,21.49812411,21.26697941,21.70523038,22.17741127
 11/13  21:00:00,13.7125,21.47185254,21.16303978,21.00462812,21.28023942,21.94228707
 11/13  22:00:00,13.3,21.08886502,20.89427861,20.78213447,20.95982127,21.72697708
 11/13  23:00:00,12.9875,20.81535349,20.67990643,20.59709786,20.71787846,21.53760829
 11/13  24:00:00,12.1125,20.58230736,20.48478725,20.41674521,20.50647999,21.38251332
 11/14  01:00:00,11.7,20.39819543,20.3178657,20.26273529,20.33009586,21.25085929
 11/14  02:00:00,11.7,20.26217989,20.18567605,20.14161459,20.1927045,21.13706439
 11/14  03:00:00,11.0125,20.12838892,20.05800427,20.01809005,20.06203496,21.03859878
 11/14  04:00:00,10.9125,20.01172653,19.94608867,19.90821168,19.94829642,20.95139751
 11/14  05:00:00,10.0375,19.89657942,19.8366727,19.797143,19.83993256,20.87555246
 11/14  06:00:00,10.15,19.82118184,19.76538495,19.73102006,19.76418775,20.81079024
 11/14  07:00:00,10.225,19.7826403,19.82816991,19.70616092,19.72403298,20.75914269
 11/14  08:00:00,11.0625,19.90766219,21.58280374,19.87844379,19.84997,20.74426187
 11/14  09:00:00,12.7,20.37792903,23.78266768,20.34974337,20.27123222,20.8101177
 11/14  10:00:00,14.3625,21.04457793,24.98385139,21.05280397,20.92758771,20.97193507
 11/14  11:00:00,15,21.69299178,25.32459243,21.75459759,21.62171256,21.19046135
 11/14  12:00:00,15,22.5415041,25.50659999,22.28379862,22.18551018,21.44531162
 11/14  13:00:00,15.6875,23.68546544,25.22815355,22.68739601,22.65634558,21.75057799
 11/14  14:00:00,16.7875,25.02626615,24.6294295,22.97899849,23.04177682,22.06497761
 11/14  15:00:00,17.2,25.55560853,24.16984766,23.12196603,23.49605609,22.33359085
 11/14  16:00:00,16.8875,25.21173601,23.6748612,22.95150061,23.69946596,22.50392358
 11/14  17:00:00,16.325,24.18255629,23.00868065,22.48143348,23.26686246,22.52012448
 11/14  18:00:00,15.7875,22.94609831,22.32778318,21.95120936,22.49050802,22.39337648
 11/14  19:00:00,15.225,22.15389371,21.81926908,21.57097267,21.91918761,22.20828856
 11/14  20:00:00,15,21.6468743,21.46332548,21.30213174,21.51825838,22.02085703
 11/14  21:00:00,14.625,21.30883709,21.1917203,21.08262321,21.22479377,21.84527352
 11/14  22:00:00,14.0875,21.05126131,20.96798338,20.88764641,20.98670181,21.67595227
 11/14  23:00:00,14.2125,20.85773185,20.79708771,20.7364085,20.80745259,21.52620383
 11/14  24:00:00,14.0875,20.71973526,20.66626662,20.62073146,20.67215019,21.40402218
 11/15  01:00:00,13.2125,20.58685376,20.53659978,20.49730083,20.54062009,21.30436351
 11/15  02:00:00,12.425,20.44878769,20.4059743,20.36768951,20.40843171,21.2180459
 11/15  03:00:00,12.2,20.33775154,20.2942364,20.25940122,20.29569648,21.13929543
 11/15  04:00:00,11.8875,20.24407106,20.20002263,20.16907579,20.20087885,21.06816136
 11/15  05:00:00,11.7,20.16053904,20.11594405,20.08760017,20.11644198,21.00456755
 11/15  06:00:00,11.7,20.09842225,20.05078679,20.0260078,20.05107519,20.94897502
 11/15  07:00:00,11.7,20.0577904,20.03868567,19.99532091,20.01285036,20.90141833
 11/15  08:00:00,12.3875,20.14183989,20.46173928,20.14267273,20.13591773,20.8745014
 11/15  09:00:00,13.4875,20.44063834,21.3580485,20.54189065,20.50850687,20.90117922
 11/15  10:00:00,14.2125,20.82849143,22.01623573,21.03418665,20.98655984,20.992484
 11/15  11:00:00,14.775,21.34427482,22.9315214,21.59975245,21.54991443,21.14161352
 11/15  12:00:00,15,21.98526588,23.61714462,22.16495416,22.12689846,21.3634668
 11/15  13:00:00,15.375,22.71665036,23.77141214,22.56430563,22.56327601,21.60619268
 11/15  14:00:00,15.6,23.85596586,23.65960412,22.80447508,22.86929931,21.86007491
 11/15  15:00:00,15.6,24.1687171,23.35037919,22.7742621,23.07032738,22.10046405
 11/15  16:00:00,15.6,24.57681732,23.00459227,22.57395263,23.37787118,22.24046643
 11/15  17:00:00,15.6,24.15006053,22.49454907,22.12822035,23.20590758,22.30006889
 11/15  18:00:00,15.225,22.87066446,21.95522132,21.67299093,22.40148766,22.21299879
 11/15  19:00:00,15,22.06465209,21.56922836,21.3869209,21.82798459,22.04754091
 11/15  20:00:00,14.3125,21.55207686,21.28165279,21.15664829,21.42941526,21.8791217
 11/15  21:00:00,13.525,21.17944263,21.02143342,20.92679547,21.10835246,21.71483926
 11/15  22:00:00,12.9875,20.92257964,20.82916347,20.75840791,20.88047011,21.56185058
 11/15  23:00:00,12.425,20.71926851,20.66983836,20.61216254,20.69702204,21.43448959
 11/15  24:00:00,12.2,20.55906293,20.5275792,20.47493465,20.54059852,21.32722765
 11/16  01:00:00,12.575,20.45751176,20.42246237,20.38390554,20.42999209,21.23849976
 11/16  02:00:00,11.7375,20.34616574,20.30954436,20.27395899,20.31512168,21.16403135
 11/16  03:00:00,11.0375,20.23565473,20.21238348,20.17923355,20.21580035,21.09479554
 11/16  04:00:00,11,20.15411652,20.12912536,20.09956324,20.13116399,21.03166841
 11/16  05:00:00,11,20.07161502,20.03281723,20.00186329,20.03401448,20.9757535
 11/16  06:00:00,11,20.02349851,19.98811778,19.96314634,19.98764714,20.92367986
 11/16  07:00:00,11.625,20.02004667,20.01112685,19.98102554,19.99380352,20.87988796
 11/16  08:00:00,12,20.09849241,20.26824167,20.12047431,20.1119241,20.860924
 11/16  09:00:00,12.5,20.31060552,20.64891267,20.44133073,20.41804095,20.88541898
 11/16  10:00:00,12.8,20.69424693,21.45005864,20.93687697,20.90367404,20.966871
 11/16  11:00:00,13.1125,21.36270632,23.07469869,21.57589152,21.5343186,21.13716651
 11/16  12:00:00,13.3,22.20106681,24.10629768,22.15916676,22.12714417,21.39187854
 11/16  13:00:00,13.9875,23.28996291,24.3281834,22.51820648,22.53218728,21.67183966
 11/16  14:00:00,15.15,24.08345384,23.97301979,22.75903915,22.84315824,21.9681789
 11/16  15:00:00,15.6,23.84075879,23.47811459,22.68796407,22.91646833,22.16080154
 11/16  16:00:00,15.6,23.67004142,23.01166641,22.47711488,22.95419162,22.23193993
 11/16  17:00:00,14.85,23.02245623,22.39538779,21.99549893,22.56091954,22.2181868
 11/16  18:00:00,14.0875,22.07683789,21.76634825,21.47942384,21.86656643,22.09894731
 11/16  19:00:00,13.9,21.50990081,21.33781394,21.14429567,21.3946295,21.93262151
 11/16  20:00:00,13.2125,21.13440068,21.0221464,20.88694999,21.05481897,21.75767982
 11/16  21:00:00,12.425,20.84679674,20.77032626,20.67215746,20.78758924,21.58367575
 11/16  22:00:00,11.8875,20.62232695,20.56529434,20.48959908,20.57451516,21.43282301
 11/16  23:00:00,12.0125,20.45889388,20.40405572,20.34627471,20.40894696,21.3014579
 11/16  24:00:00,12.2,20.34545124,20.28290297,20.24114907,20.28702875,21.18969248
 11/17  01:00:00,11.5125,20.20976664,20.150709,20.10947931,20.15209572,21.09439805
 11/17  02:00:00,10.7875,20.07743903,20.02314732,19.98142129,20.02347093,21.00865487
