Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 02/26  20:00:00,12,22.78853054,22.27236056,14.2,14.2,-1148.629248,-1696.963114,49230.27749,54595.19637,47565.94021,52576.90487,2812.966528,3715.254618
 02/26  21:00:00,11.9,22.86827548,22.25877272,14.2,14.2,-733.6709619,-1578.26559,49754.37368,51132.31201,47767.71117,49268.50445,2720.33347,3442.073144
 02/26  22:00:00,11.7,22.89374999,22.23374418,14.2,14.2,-503.9855771,-1842.209457,49771.12,53485.79904,47631.84537,51580.34031,2643.260208,3747.668187
 02/26  23:00:00,11.1,22.93637691,22.18142563,14.2,14.2,-250.3325788,-1607.154446,50203.86015,51765.38922,47879.33634,49834.96608,2574.85639,3537.577583
 02/26  24:00:00,10.6,22.96143058,22.13372308,14.2,14.2,-111.5092968,-1468.164085,50366.15084,51719.19167,47940.88181,49656.84004,2536.778324,3530.515706
 02/27  01:00:00,10,22.46626623,22.06433406,14.2,14.2,-979.1266457,-23.13968681,35908.30786,36393.74988,34818.49777,34287.61287,2068.936732,2129.276691
 02/27  02:00:00,9.3,22.20634135,22.03309105,14.2,14.2,151.6171069,56.76082089,38442.23229,43065.43511,36644.98886,40845.1945,1645.626328,2163.479791
 02/27  03:00:00,8.5,22.25984141,22.00630708,14.2,14.2,496.7276828,226.3363939,39117.05814,40899.00945,36978.42903,38582.76714,1641.901423,2089.905914
 02/27  04:00:00,7.8,22.28592371,21.97335983,14.2,14.2,881.2075839,170.3868454,39078.75939,42490.01548,36660.31731,40064.2739,1537.234493,2255.354736
 02/27  05:00:00,7.6,22.33038018,21.94773167,14.2,14.2,1073.849889,273.8393366,39620.44934,42507.58844,37005.48647,39985.91562,1541.11298,2247.833483
 02/27  06:00:00,7.4,22.34856307,21.91811145,14.2,14.2,1167.235791,508.239796,39815.76166,41540.58513,37151.61968,38926.21244,1496.906183,2106.132892
 02/27  07:00:00,7.2,22.51090582,22.02059351,14.2,14.2,211.485808,-738.3090899,52146.04361,55280.77736,49010.72665,52251.69291,2923.83116,3767.393537
 02/27  08:00:00,8.5,22.3233015,21.99313775,14.2,14.2,-509.1464288,-932.219551,45325.79677,48137.67181,43075.58621,45563.44766,2759.356991,3506.4437
 02/27  09:00:00,9.8,22.72249937,22.25547126,14.2,14.2,-1473.97805,-3028.135754,60510.76972,65577.16935,57827.93417,63269.09386,4156.813606,5336.211242
 02/27  10:00:00,11.1,22.71611347,22.30671014,255.6,255.6,-2320.012253,-3140.379146,53219.2995,55554.91378,51763.58925,54089.74034,3775.722504,4605.552589
 02/27  11:00:00,12.6,23.10919539,22.58663888,269.8,269.8,-1954.382224,-3661.5297,56520.79597,61330.0213,54867.01269,60098.36318,3608.165505,4893.187822
 02/27  12:00:00,14.1,23.38320466,22.76013005,284,284,-2273.165627,-4022.636112,56045.35672,58104.12712,54807.87995,57472.94839,3510.6424,4653.814833
 02/27  13:00:00,15.6,23.60421518,22.86664171,269.8,269.8,-2426.730215,-4483.448701,56671.22943,59977.59922,55595.56206,59491.45098,3502.397589,4969.596936
 02/27  14:00:00,16,23.59536197,22.75883843,227.2,227.2,-2130.695453,-4312.17348,56518.5177,58427.14992,55307.65474,57947.3928,3341.558404,4791.930602
 02/27  15:00:00,16.3,23.6383527,22.61785084,255.6,255.6,-1761.49315,-4263.177336,57204.17438,58405.87106,55602.13371,57862.22485,3363.533819,4806.823541
 02/27  16:00:00,16.7,23.64038844,22.50458687,284,284,-1583.949554,-4164.356548,57685.10524,59342.5338,55966.00265,58574.08445,3303.052151,4932.805894
 02/27  17:00:00,15.2,23.64814093,22.41757405,284,284,-1360.857674,-3929.924546,57753.92469,59250.49191,55852.20429,58270.09049,3262.578071,4910.325962
 02/27  18:00:00,13.7,23.59228851,22.31371508,14.2,14.2,-1012.163542,-3278.021393,58047.57478,58722.20131,55830.2303,57259.64172,3229.508027,4740.580988
 02/27  19:00:00,12.2,23.06078413,22.25617753,14.2,14.2,-2233.30265,-1724.757848,48460.48785,47880.7666,47582.68098,46308.77617,3111.10952,3296.748284
 02/27  20:00:00,12,22.87213897,22.34365393,14.2,14.2,-1333.37959,-1892.591544,49205.18752,54566.15487,47692.16833,52710.34619,2846.398778,3748.400232
 02/27  21:00:00,11.9,22.93884989,22.31763821,14.2,14.2,-897.5881764,-1744.901854,49763.11484,51127.2349,47912.99253,49400.32399,2747.710484,3471.812765
 02/27  22:00:00,11.7,22.9563707,22.2845874,14.2,14.2,-642.3832785,-1989.92968,49779.48181,53480.01648,47756.06706,51692.41283,2665.798029,3777.533329
 02/27  23:00:00,11.7,23.02190343,22.25233388,14.2,14.2,-428.0030745,-1819.191468,50225.07315,51754.14142,48050.47987,49997.03909,2602.596361,3576.293799
 02/27  24:00:00,11.7,23.07062828,22.22410009,14.2,14.2,-363.1423962,-1777.536596,50384.77817,51700.85042,48178.4607,49895.077,2569.45986,3583.310015
 02/28  01:00:00,11.7,22.59158842,22.18354668,14.2,14.2,-1332.184562,-412.8677675,35905.80003,36340.17694,35139.30356,34591.6626,2098.681036,2161.382098
 02/28  02:00:00,11.5,22.33387873,22.15233765,14.2,14.2,-241.8151103,-382.9181997,38452.559,43077.6446,37009.16109,41251.38354,1685.213026,2209.179266
 02/28  03:00:00,11.3,22.39595642,22.12919434,14.2,14.2,79.12668753,-246.0999316,38982.063,40703.71543,37214.94529,38801.59894,1687.99102,2148.216414
 02/28  04:00:00,11.1,22.43540172,22.1012055,14.2,14.2,457.2063823,-348.2524964,39021.43105,42409.61747,36972.11873,40422.1623,1592.105942,2335.707657
 02/28  05:00:00,11.1,22.48686769,22.07956223,14.2,14.2,614.090652,-270.4481049,39587.2363,42410.31554,37381.66778,40351.54673,1591.477862,2329.216912
 02/28  06:00:00,11.1,22.51325332,22.05808395,14.2,14.2,692.2133525,-52.78980704,39739.20905,41364.55975,37501.35334,39237.49413,1545.642356,2179.855422
 02/28  07:00:00,11.1,22.68533368,22.17539761,14.2,14.2,-333.6925558,-1340.697917,52095.50998,55105.71705,49437.28531,52601.13374,2991.917228,3845.281225
