Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),space1 power input,space2 power input,space3 power input,space4 power input,space5 power input,SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),
 04/09  22:00:00,10.7875,20.42980783,20.44427944,20.31196611,20.6471359,20.85747583,-1141.111776,-483.9644628,-1117.590242,-480.7092146,-2136.131943,0,1141.111776,0,483.9644628,0,1117.590242,0,480.7092146,0,2136.131943,0,0,0,0,0,
 04/09  23:00:00,10.6,19.26639697,19.2943833,19.15112704,19.44924763,19.80350132,-983.277027,-428.6178947,-962.2671987,-427.1448949,-1854.666414,0,983.277027,0,428.6178947,0,962.2671987,0,427.1448949,0,1854.666414,0,0,0,0,0,
 04/09  24:00:00,10.6,18.81208982,18.82284937,18.71586623,18.91933526,19.42752853,-929.391779,-408.1236071,-912.2777444,-405.4853258,-1774.047269,0,929.391779,0,408.1236071,0,912.2777444,0,405.4853258,0,1774.047269,0,0,0,0,0,
 04/10  01:00:00,10.225,18.49469392,18.49535511,18.40980734,18.55699935,19.15673819,-936.8823239,-411.7329152,-921.233402,-408.1295586,-1797.237666,0,936.8823239,0,411.7329152,0,921.233402,0,408.1295586,0,1797.237666,0,0,0,0,0,
 04/10  02:00:00,10,18.25640088,18.2455709,18.17632506,18.28599406,18.94559715,-935.4279258,-413.6680001,-921.3913373,-410.3698423,-1799.737764,0,935.4279258,0,413.6680001,0,921.3913373,0,410.3698423,0,1799.737764,0,0,0,0,0,
 04/10  03:00:00,10,18.11395729,18.08895154,18.03462599,18.11660399,18.81423397,-919.3801181,-407.0892532,-905.8275158,-403.9988803,-1773.337138,0,919.3801181,0,407.0892532,0,905.8275158,0,403.9988803,0,1773.337138,0,0,0,0,0,
 04/10  04:00:00,9.625,17.97323111,17.94206724,17.89261875,17.96385297,18.6842722,-947.407561,-417.9563982,-933.1168014,-414.1815216,-1825.997496,0,947.407561,0,417.9563982,0,933.1168014,0,414.1815216,0,1825.997496,0,0,0,0,0,
 04/10  05:00:00,9.4,17.84963446,17.81225294,17.77078396,17.82966066,18.56380482,-959.2069393,-425.3410772,-945.9167609,-422.1138617,-1847.310926,0,959.2069393,0,425.3410772,0,945.9167609,0,422.1138617,0,1847.310926,0,0,0,0,0,
 04/10  06:00:00,9.775,17.83107546,17.78613106,17.76045396,17.79844893,18.52884941,-913.115638,-407.4748051,-901.7970258,-405.3370542,-1761.60618,0,913.115638,0,407.4748051,0,901.7970258,0,405.3370542,0,1761.60618,0,0,0,0,0,
 04/10  07:00:00,10,18.45795181,19.20244121,18.87149615,18.43357856,18.8328451,27.02719102,-361.6984716,-663.1592196,21.84098016,-873.9107367,89.97037736,579.9847509,20.14603929,445.3677333,77.49027969,917.5286903,30.32656923,246.8766342,15.30183527,1367.439941,517.0415645,63.52322238,176.879191,238.3910451,478.2273689,
 04/10  08:00:00,10.6875,21.39301886,22.80617386,21.97309204,21.53820206,21.61822039,5281.316465,1232.635835,4281.711643,2496.202466,8016.47971,1895.176445,6.120385188,343.3431157,77.23321134,1466.600027,86.81660638,910.9975981,12.70905873,2818.395768,183.6927988,3392.260406,966.5259302,2901.928222,1597.913926,5381.776741,
 04/10  09:00:00,12.1625,22.19359798,24.45322566,22.61763346,22.2522036,22.18391494,3043.831261,-498.1199943,1965.956608,1318.229548,4983.653664,838.5571804,0,0,569.7843095,300.9245029,0,354.4732045,0,1249.153199,0,2205.27408,71.66431514,1665.032106,963.7563439,3734.500465,
 04/10  10:00:00,13.8,22.50166868,25.56776654,22.73043504,22.54633359,22.35430947,2020.552692,-898.6572894,1563.538481,875.5789166,3869.071248,430.9925643,0,0,898.6572894,203.8025027,0,180.4713802,0,881.1011051,0,1589.560127,0,1359.735979,695.1075364,2987.970143,
 04/10  11:00:00,14.775,22.79559445,25.65219903,22.95607545,22.84257847,22.48006817,1315.941537,-991.0850467,1105.626935,572.5081888,3163.441857,140.3977602,0,0,991.0850467,43.20716201,6.648749974,56.9914756,0,640.39705,0,1175.543777,0,1069.068523,515.5167132,2523.044807,
 04/10  12:00:00,15,22.96951629,25.15322831,23.14224197,23.08817959,22.58396008,1055.987637,-645.7354292,765.0859174,382.3278894,2723.722957,24.76676752,0,0,645.7354292,0,119.3865395,9.86E-02,31.68539435,446.7120606,0,1031.22087,0,884.4724569,413.9146402,2277.010896,
 04/10  13:00:00,15.6875,23.04399876,24.43382095,23.26766214,23.24993992,22.65396371,849.6932904,-430.364289,435.2947707,196.1145462,2323.947719,0,34.79573705,0,430.364289,0,240.6612965,0,104.8820336,325.9904426,0,884.4890274,0,675.9560672,300.9965799,1997.957277,
 04/10  14:00:00,15.7875,23.13131377,23.78189493,23.32928624,23.38520003,22.69893424,682.4142035,-297.3788927,298.7677266,61.61040734,2163.160761,0,112.1192252,0,347.8365213,0,302.6351354,0,169.2651759,257.1372293,0,794.5334286,50.45762863,601.402862,230.8755833,1906.023531,
 04/10  15:00:00,15.6,23.24521044,23.52275675,23.30991938,23.64898286,22.73369221,499.1483448,-56.8192385,361.7083653,-175.7861584,2113.639978,0,215.6149141,0,235.5453702,0,283.0457363,0,293.3585621,210.8210902,0,714.7632589,178.7261317,644.7541015,117.5724037,1902.818888,
 04/10  16:00:00,14.85,23.51474863,23.33434694,23.20193704,24.22501498,22.76681129,79.86496732,172.6154834,677.9049694,-481.8183217,2211.40056,0,473.0115068,0,142.577431,0,172.7118294,0,481.8183217,172.8137451,0,552.8764741,315.1929144,850.6167988,0,2038.586815,
 04/10  17:00:00,13.7125,23.63752446,23.15694948,23.058672,24.74683607,22.79231595,-43.66043463,409.8830011,1108.978053,-565.845655,2424.814148,0,607.1960984,0,56.85838108,7.26635812,36.85975416,0,565.845655,147.8696714,0,563.5356637,466.7413822,1138.571449,0,2276.944477,
