period4	week	month	day	hour	ambient	t_w	t_e	hvac_w	hvac_e
74	43	11	15	20	13.9	20.1041253637	20.0625458239	123.9683326209	146.3810100297
74	43	11	15	21	13.3	20.0223589693	19.96058155	134.1588211294	160.0295199026
74	43	11	15	22	12.8	19.9699903912	19.8921799764	135.948807994	162.8237259991
74	43	11	15	23	12.2	19.9396008346	19.8503886069	126.7059422066	152.1633149916
74	43	11	15	24	12.2	19.86085841	19.7635665459	129.8599214288	153.558094012
74	43	11	16	1	12.8	19.7089908251	19.6053975745	161.2243258264	179.7009189566
74	43	11	16	2	11.1	19.5569297318	19.4488663879	179.8984783359	198.2814870732
74	43	11	16	3	11	19.5203021566	19.4118873491	156.2909225361	171.0564963185
74	43	11	16	4	11	19.3241059937	19.2134429518	164.3545002053	179.4552396788
74	43	11	16	5	11	19.1939377067	19.0836347986	179.2406702442	195.2250548729
74	43	11	16	6	11	19.2134674246	19.107258885	141.4434416723	152.8964154244
74	43	11	16	7	12	19.2073341991	19.1054250274	111.2965171326	119.6328431835
74	43	11	16	8	12	19.235209356	19.1394096471	102.4787700455	109.2196022853
74	43	11	16	9	12.8	19.4661601002	19.3819062503	59.2178786893	60.7542227224
74	43	11	16	10	12.8	19.7029733331	19.6325696572	30.2353558349	27.2507739824
74	43	11	16	11	13.3	20.071770742	20.0192738002	-4.8106529419	-12.3512701894
74	43	11	16	12	13.3	20.2794657429	20.2410484396	0	-7.822839835
74	43	11	16	13	14.4	20.6413576568	20.6232487107	0	0
74	43	11	16	14	15.6	20.6916046243	20.6850993976	0	0
74	43	11	16	15	15.6	20.5205908412	20.5170779453	19.4889205985	18.3602037691
74	43	11	16	16	15.6	20.5407318712	20.537072495	51.9864001508	55.7415118682
74	43	11	16	17	14.4	20.3014272856	20.2849650311	69.3946267854	77.2914311637
74	43	11	16	18	13.9	20.1822408867	20.1544323914	115.9027575434	131.3838502334
74	43	11	16	19	13.9	20.04985332	20.0077764148	144.1990208398	165.4673221054
74	43	11	16	20	12.8	19.8932097165	19.8375934454	158.6106802101	183.3696723155
74	43	11	16	21	12.2	19.7261598747	19.6589628724	181.4832868598	209.4938124948
74	43	11	16	22	11.7	19.6241624921	19.5496510105	176.6564477296	195.2825613267
74	43	11	16	23	12.2	19.4718247928	19.3916311596	171.8530195307	189.9139288526
74	43	11	16	24	12.2	19.3164289133	19.2325500453	179.0636759648	196.9685323051
75	43	11	17	1	11.1	19.255695532	19.1713006835	161.5080070454	176.7390454619
75	43	11	17	2	10.6	19.0498409511	18.9626790852	172.243633188	188.221263247
75	43	11	17	3	11	18.9189259603	18.83175881	181.944310046	198.4129617543
75	43	11	17	4	11	18.7875714797	18.7007509735	173.8940735446	189.1920855411
75	43	11	17	5	9	18.7023319174	18.6175717937	158.5067868018	171.7305143543
75	43	11	17	6	10	18.5465026658	18.462734101	164.4438480223	178.0689721981
75	43	11	17	7	10	18.4753437078	18.3948371734	159.6575920724	172.5218077539
75	43	11	17	8	12	18.513819732	18.4393125011	121.8282146293	130.3892567741
75	43	11	17	9	12	19.1180160492	19.0636960598	2.5300212868	-1.3527862451
75	43	11	17	10	13	19.5072378915	19.479924605	1.4762562593	-4.6768787458
75	43	11	17	11	13.9	19.9302075215	19.9402250093	8.4671866997	-1.0945568692
75	43	11	17	12	13.9	20.2572369096	20.3159000046	-8.8695106563	-11.1064047095
75	43	11	17	13	15	20.4896952337	20.6009792873	0	0
75	43	11	17	14	16.1	20.8253340174	20.9813821308	0	0
75	43	11	17	15	17.8	20.8261548762	21.0133506217	0	0
75	43	11	17	16	18.3	20.8301672957	21.0272294303	0	0
75	43	11	17	17	16.1	20.5724762822	20.7488125816	31.5784020436	11.1949462815
75	43	11	17	18	15	20.4934809512	20.6354092814	77.7492222011	71.4796029932
75	43	11	17	19	13.9	20.4339323919	20.5359193562	84.2201862234	87.0080457304
75	43	11	17	20	12.8	20.3768366152	20.4408610496	80.1905875616	89.0419112597
75	43	11	17	21	12.2	20.3063917281	20.3385183715	88.5465726375	102.2355892681
75	43	11	17	22	12.2	20.1555135978	20.1604353471	116.8334140873	135.5065956546
75	43	11	17	23	11.7	20.0210868097	20.0056065665	146.1776333918	168.9546072849
75	43	11	17	24	11.1	19.8827574943	19.8515262278	163.9345231517	189.1915718069
75	43	11	18	1	11.7	19.7705490856	19.7272961426	172.349813814	198.3311896014
75	43	11	18	2	10	19.6537420769	19.6011455932	166.099327071	185.1646257847
75	43	11	18	3	9.4	19.5102231631	19.4506668102	171.1212059391	190.2397605988
75	43	11	18	4	10	19.4543376111	19.3921223412	157.3267803849	173.6985970259
75	43	11	18	5	11.7	19.4202916073	19.3575060528	135.2778891219	148.2568588222
75	43	11	18	6	11.7	19.3582803987	19.295725011	132.1808279781	144.0749758196
75	43	11	18	7	11.7	19.2866785471	19.2249903093	140.0547395531	152.167387726
75	43	11	18	8	12.2	19.3634043131	19.3065255401	112.1207554195	120.7894458836
75	43	11	18	9	12.2	19.5688662452	19.521509657	58.8583934368	61.1509585565
75	43	11	18	10	12.2	20.1552825179	20.1360931063	20.7696441181	17.2053089598
75	43	11	18	11	12.8	20.5520995615	20.5656617857	-6.9554112975	-10.2238461359
75	43	11	18	12	13.9	20.8130487074	20.8672445101	0	0
75	43	11	18	13	15	20.8808094503	20.9754541785	0	0
75	43	11	18	14	15.6	20.8645920443	20.9933176036	0	0
75	43	11	18	15	15.6	20.6948593576	20.8443287244	21.2842933959	0
75	43	11	18	16	15	20.6495268865	20.8091988513	43.4126839931	21.802843886
75	43	11	18	17	14.4	20.4678215482	20.6252191705	66.6874311957	48.6307779296
75	43	11	18	18	13.9	20.393623472	20.5427805327	90.8630052368	79.8894983844
75	43	11	18	19	13.9	20.3295372281	20.4642079428	94.2994649255	88.8837355927
75	43	11	18	20	13.9	20.2694061543	20.3889264159	92.9269772384	90.663922963
75	43	11	18	21	13.3	20.2161437091	20.3220948861	96.9156597347	96.838443334
75	43	11	18	22	12.8	20.1072496798	20.2004127279	113.0783850788	115.9448044018
75	43	11	18	23	12.2	19.9695539231	20.0514825768	140.3848405287	147.0709653949
75	43	11	18	24	12.8	19.8511916789	19.9234712319	160.3248206298	170.254559214
75	43	11	19	1	12.8	19.7918162845	19.8573728061	158.0065076534	168.9015638431
75	43	11	19	2	12.2	19.7257615352	19.7852183686	142.4998795285	159.8967424908
75	43	11	19	3	12.2	19.6676799561	19.7217076662	139.3766935128	154.9215135348
75	43	11	19	4	12.2	19.599190137	19.6483615665	140.7970813574	156.0383025336
75	43	11	19	5	12.2	19.4955635438	19.5397416494	149.3788451418	165.138808449
75	43	11	19	6	11.7	19.3788367359	19.4181413902	159.514642624	176.117104314
75	43	11	19	7	12.2	19.2777303974	19.3128296995	160.056654076	176.541049333
75	43	11	19	8	12.2	19.2627522888	19.2962217114	138.2132309461	151.9515464659
75	43	11	19	9	13.3	19.5896901843	19.6326903347	50.7582491198	53.6224980305
75	43	11	19	10	14.4	19.9908462608	20.0562196845	26.7286422925	24.4559646026
75	43	11	19	11	14.4	20.2553663894	20.3553110573	-2.9030150146	-6.7829934124
